user_id,name,age,gender,education,location,skills,channel
1,Ruth Russo,55,Female,Diploma,Bathinda,python;hr;django;ml,Referral
2,Jessica Mills,33,Female,MBA,Chandigarh,django;flask,WhatsApp
3,Ryan Stevens,50,Female,BSc,Bathinda,docker;kubernetes;react;nlp;marketing;sales,WordOfMouth
4,Michael Bowman,18,Male,MBA,Jalandhar,java;project_management;excel;nlp,Newspaper
5,Angela Miller,35,Male,MBA,Patiala,dl;marketing,Newspaper
6,Chelsea Gill,27,Female,Diploma,Bathinda,flask;sql,WordOfMouth
7,Joseph Dawson,33,Other,BA,Amritsar,hr,Referral
8,Linda Dillon,36,Other,BTech,Hoshiarpur,excel,Facebook
9,Mr. Nicholas Carter,42,Other,BSc,Patiala,communication,Referral
10,Debbie Scott,40,Male,High School,Amritsar,flask;communication,Govt_Website
11,Alyssa Bailey,50,Male,BA,Amritsar,dl;kubernetes;flask,Facebook
12,Jennifer Thompson,48,Other,High School,Jalandhar,flask;nlp;marketing;accounting;excel,Newspaper
13,Nicholas Jackson,39,Female,High School,Chandigarh,docker;flask,Referral
14,Olivia Clark,43,Male,Diploma,Firozpur,excel;flask;django;marketing;aws,Govt_Website
15,Natalie Miller,23,Male,BA,Bathinda,c++;communication;sales;nlp;kubernetes;hr,Facebook
16,Pamela Taylor,51,Male,BCom,Amritsar,sql;flask,Referral
17,Jessica Kelley,22,Female,BTech,Jalandhar,marketing;hr;python;communication;project_management;sales,WhatsApp
18,Kristi Parker,18,Female,BCom,Jalandhar,ml;hr;aws;java;docker,Govt_Website
19,Melvin Thomas,41,Female,Diploma,Bathinda,java;sql,Referral
20,Melissa Ali,19,Female,MBA,Firozpur,aws,Facebook
21,Kevin Brandt,39,Other,MBA,Hoshiarpur,flask;sales;nlp;django;c++;project_management,Newspaper
22,Bridget Sims,41,Female,Diploma,Ludhiana,react,WordOfMouth
23,Benjamin Zhang,30,Other,MBA,Amritsar,project_management;dl;c++,WordOfMouth
24,Kimberly Wilkins,22,Other,BCom,Amritsar,python;accounting;java;kubernetes,WhatsApp
25,Tyler Lyons,35,Male,High School,Chandigarh,excel;django;project_management;python,WordOfMouth
26,Krista Russell PhD,18,Other,BTech,Chandigarh,java;nodejs,WhatsApp
27,Mrs. Jennifer Rubio,35,Other,High School,Ludhiana,excel;nodejs;java;kubernetes;sql,WordOfMouth
28,Andrew Lawson,31,Other,BA,Jalandhar,hr;sales;nlp;excel,Newspaper
29,Corey Barry,38,Female,BA,Hoshiarpur,communication;sales;flask;python;c++;excel,Referral
30,Anthony Rivera,40,Male,Diploma,Patiala,nodejs;aws;project_management,Govt_Website
31,Bryan Edwards,49,Other,BTech,Patiala,docker;sql;nodejs,Referral
32,Douglas Smith,21,Other,BSc,Hoshiarpur,flask;python;c++,Facebook
33,Crystal Bradley,36,Other,BA,Hoshiarpur,communication;marketing;kubernetes;docker;django;aws,Facebook
34,Yvette Cortez,27,Female,High School,Bathinda,aws;python,WordOfMouth
35,Tamara Hart,36,Male,High School,Hoshiarpur,aws;c++,WordOfMouth
36,Laura Cook,36,Female,BA,Bathinda,project_management;sales;hr,Facebook
37,Brandi Porter,36,Male,BSc,Bathinda,nodejs;django;dl;excel,WordOfMouth
38,William Small,21,Other,MSc,Chandigarh,docker;communication;ml,Govt_Website
39,Elizabeth Brown,48,Male,BCom,Chandigarh,accounting;hr;sql;kubernetes;excel;docker,WordOfMouth
